Date,GS
2014-07-15,136.6173858642578
2014-07-16,137.66722106933594
2014-07-17,137.4007110595703
2014-07-18,138.4748077392578
2014-07-21,138.67672729492188
2014-07-22,141.34169006347656
2014-07-23,142.7952880859375
2014-07-24,142.3430633544922
2014-07-25,141.64859008789062
2014-07-28,142.09275817871094
2014-07-29,141.76156616210938
2014-07-30,141.93930053710938
2014-07-31,139.60537719726562
2014-08-01,137.48960876464844
2014-08-04,138.6524658203125
2014-08-05,136.8192596435547
2014-08-06,137.0777130126953
2014-08-07,136.56082153320312
2014-08-08,139.11273193359375
2014-08-11,139.2742919921875
2014-08-12,139.16932678222656
2014-08-13,139.20159912109375
2014-08-14,139.49241638183594
2014-08-15,138.8220977783203
2014-08-18,140.96209716796875
2014-08-19,140.4856719970703
2014-08-20,140.54222106933594
2014-08-21,141.44668579101562
2014-08-22,141.7051239013672
2014-08-25,143.6432342529297
2014-08-26,143.66751098632812
2014-08-27,144.04017639160156
2014-08-28,143.9105224609375
2014-08-29,145.09327697753906
2014-09-02,145.6278839111328
2014-09-03,145.49020385742188
2014-09-04,145.87904357910156
2014-09-05,145.61170959472656
2014-09-08,145.90338134765625
2014-09-09,143.70803833007812
2014-09-10,145.7089385986328
2014-09-11,146.62429809570312
2014-09-12,148.38221740722656
2014-09-15,149.038330078125
2014-09-16,149.08692932128906
2014-09-17,149.71881103515625
2014-09-18,152.20578002929688
2014-09-19,150.83673095703125
2014-09-22,150.0995330810547
2014-09-23,149.9375457763672
2014-09-24,152.14096069335938
2014-09-25,149.12742614746094
2014-09-26,149.9618377685547
2014-09-29,148.91683959960938
2014-09-30,148.70619201660156
2014-10-01,146.3812713623047
2014-10-02,148.14727783203125
2014-10-03,152.35157775878906
2014-10-06,151.87362670898438
2014-10-07,148.89244079589844
2014-10-08,151.19320678710938
2014-10-09,146.84303283691406
2014-10-10,146.12203979492188
2014-10-13,144.8178253173828
2014-10-14,144.76113891601562
2014-10-15,143.5784149169922
2014-10-16,139.80345153808594
2014-10-17,143.31109619140625
2014-10-20,144.06446838378906
2014-10-21,145.96005249023438
2014-10-22,143.24623107910156
2014-10-23,145.86282348632812
2014-10-24,148.52798461914062
2014-10-27,148.98162841796875
2014-10-28,150.93392944335938
2014-10-29,150.73951721191406
2014-10-30,151.46041870117188
2014-10-31,153.9069366455078
2014-11-03,154.58734130859375
2014-11-04,154.13375854492188
2014-11-05,153.78538513183594
2014-11-06,154.72509765625
2014-11-07,154.4901885986328
2014-11-10,155.37313842773438
2014-11-11,155.43797302246094
2014-11-12,154.06082153320312
2014-11-13,154.1094512939453
2014-11-14,153.89883422851562
2014-11-17,153.8583526611328
2014-11-18,153.62338256835938
2014-11-19,153.25881958007812
2014-11-20,153.7124786376953
2014-11-21,153.5828857421875
2014-11-24,153.97169494628906
2014-11-25,152.9915313720703
2014-11-26,152.7161102294922
2014-11-28,153.11427307128906
2014-12-01,152.943603515625
